DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/15/2015,22:47,,,40.8380117,-73.8732802,"(40.8380117, -73.8732802)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316380,PASSENGER VEHICLE,UNKNOWN,,,
10/15/2015,22:45,,,,,,WEST 142 STREET,EDGECOMBE AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3316823,PASSENGER VEHICLE,TAXI,,,
10/15/2015,22:45,BROOKLYN,11204,40.6124963,-73.9792072,"(40.6124963, -73.9792072)",65 STREET,23 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3317514,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/15/2015,22:28,STATEN ISLAND,10305,40.6001833,-74.064639,"(40.6001833, -74.064639)",LILY POND AVENUE,MAJOR AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Failure to Yield Right-of-Way,,,,3316692,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
10/15/2015,22:26,MANHATTAN,10022,40.7597385,-73.9742232,"(40.7597385, -73.9742232)",EAST 53 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3316226,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,22:23,,,,,,,,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3316299,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,22:20,BROOKLYN,11238,40.6857643,-73.9730728,"(40.6857643, -73.9730728)",FULTON STREET,GREENE AVENUE,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,,,,3316517,TAXI,PASSENGER VEHICLE,,,
10/15/2015,22:19,MANHATTAN,10018,40.7536062,-73.9870893,"(40.7536062, -73.9870893)",WEST 39 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3316216,VAN,TAXI,,,
10/15/2015,22:15,MANHATTAN,10065,40.7618573,-73.9634255,"(40.7618573, -73.9634255)",2 AVENUE,EAST 61 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3316246,UNKNOWN,,,,
10/15/2015,22:13,BRONX,10470,40.8960825,-73.8669163,"(40.8960825, -73.8669163)",EAST 233 STREET,KATONAH AVENUE,,2,0,0,0,0,0,2,0,Unspecified,,,,,3316360,PASSENGER VEHICLE,,,,
